name,glass-size (oz),category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz).1
alexander cocktail no. 1,6,cocktail classics,1 oz,gin,1 oz,creme de cacao (white),1 oz,light cream,nan,nan,nan,nan,nan,nan,nutmeg,shake with ice and strain into cocktail glass. top with nutmeg.,cocktail glass,6
adam and eve,6,cocktail classics,1 oz,forbidden fruit,1 oz,gin,1 oz,brandy,1 oz,lemon juice,nan,nan,nan,nan,nan,shake well with cracked ice and strain into cocktail glass.,cocktail glass,6
vodka sling,6,vodka,2 oz,vodka,1 oz,fresh lemon juice,1/2 oz,simple syrup,nan,nan,nan,nan,nan,nan,orange twist,"pour vodka, lemon juice, and syrup into ice-filled old-fashioned glass and stir. garnish with an orange twist.",old-fashioned glass,6
jack rose cocktail,6,brandy,1 1/2 oz,applejack,1/2 oz,fresh lime juice,1/4 oz,grenadine,nan,nan,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
tempter cocktail,6,cocktail classics,1 oz,port,1 oz,apricot flavored brandy,nan,nan,nan,nan,nan,nan,nan,nan,nan,stir with ice and strain into cocktail glass.,cocktail glass,6
special rough cocktail,6,cocktail classics,1 1/2 oz,apple brandy,1 1/2 oz,brandy,1/2 oz,anisette,nan,nan,nan,nan,nan,nan,nan,stir with ice and strain into cocktail glass.,cocktail glass,6
vodka grasshopper,6,vodka,3/4 oz,vodka,3/4 oz,green creme de menthe,3/4 oz,white creme de cacao,3/4 oz,half-and-half,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
singapore sling,14,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,gin,nan,club soda,1/2 oz,cherry-flavored brandy,nan,nan,pineapple slice,"shake lemon, sugar, and gin with ice and strain into collins glass. add ice cubes and fill with club soda. top with cherry-flavored brandy. garnish with pineapple slice and serve with straws.",collins glass,14
saratoga cocktail,6,cocktail classics,2 oz,brandy,2 oz,bitters,1 oz,lemon juice,1 oz,pineapple juice,1/2 oz,maraschino,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
high cotton,6,whiskies,2 oz,straight rye whiskey,1/2 oz,pimm's no. 1 cup,1/2 oz,dubonnet rouge,2 oz,peach bitters,nan,nan,nan,nan,"lemon slice, mint",stir with ice and strain into chilled cocktail glass. garnish with a lemon slice and mint.,cocktail glass,6
polonaise,6,cocktail classics,1 1/2 oz,brandy,1 oz,blackberry-flavored brandy,1/2 oz,dry sherry,1 oz,lemon juice,nan,nan,nan,nan,nan,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6
vodka gimlet,6,vodka,1 1/2 oz,vodka,1 oz,fresh lime juice,1/2 oz,simple syrup,nan,nan,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
merry widow cocktail no. 2,6,cocktail classics,1 1/4 oz,maraschino,1 1/4 oz,cherry-flavored brandy,nan,nan,nan,nan,nan,nan,nan,nan,cherry,stir with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6
lugger,6,cocktail classics,1 oz,brandy,1 oz,apple brandy,1 oz,apricot flavored brandy,nan,nan,nan,nan,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
jamaica hop,6,cocktail classics,1 oz,coffee-flavored brandy,1 oz,creme de cacao (white),1 oz,light cream,nan,nan,nan,nan,nan,nan,nan,shake well with ice and strain into cocktail glass.,cocktail glass,6
hebrides,14,whiskies,1 1/2 oz,single-malt scotch whisky,1/2 oz,maraschino liqueur,1/2 oz,triple sec,2 oz,apple juice,1/2 oz,fresh lemon juice,1 oz,angostura bitters,nan,pour into ice-filled collins glass and stir.,collins glass,14
hennessy martini,6,cocktail classics,2 oz,hennessy v.s cognac,1/2 oz,lemon juice,nan,nan,nan,nan,nan,nan,nan,nan,lemon twist,"fill shaker or mixing glass with ice. add hennessy and lemon juice. stir gently, don't shake. let settle. strain into chilled martini glass. garnish with a lemon twist.",cocktail glass,6
vodka daisy,10,vodka,2 oz,vodka,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,grenadine,nan,nan,nan,nan,seasonal fruit,shake with ice. strain into ice-filled beer mug or metal cup. garnish with seasonal fruit.,beer mug,10
heavenly dram,6,whiskies,2 oz,single-malt scotch whisky,1/2 oz,pedro ximenez sherry,3/4 oz,fresh lemon juice,1/4 oz,honey syrup,nan,nan,nan,nan,lemon twist,shake with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
classic cocktail,6,cocktail classics,1/4 oz,juice of a lemon,1 1/2 oz,curacao,1 1/2 oz,maraschino,1 oz,brandy,nan,nan,nan,nan,powdered sugar,prepare rim of old-fashioned glass by rubbing with lemon and dipping into powdered sugar. shake ingredients with ice and strain into prepared glass.,old-fashioned glass,6
cherry sling,6,cocktail classics,2 oz,cherry-flavored brandy,1/2 oz,juice of a lemon,nan,nan,nan,nan,nan,nan,nan,nan,lemon twist,serve in old-fashioned glass filled with ice cubes and stir. garnish with a lemon twist.,old-fashioned glass,6
cherry fizz,7,cocktail classics,1/2 oz,juice of a lemon,2 oz,cherry-flavored brandy,nan,club soda,nan,nan,nan,nan,nan,nan,cherry,shake with ice and strain into highball glass with two ice cubes. fill with club soda and garnish with a cherry.,highball glass,7
vodka cooler,14,vodka,2 oz,vodka,1/2 oz,simple syrup,nan,soda water or ginger ale,nan,nan,nan,nan,nan,nan,"orange twist, lemon twist",stir vodka and syrup in collins glass. add ice cubes and fill with soda water or ginger ale. garnish with an orange twist or a lemon twist.,collins glass,14
carrol cocktail,6,cocktail classics,1 1/2 oz,brandy,3/4 oz,sweet vermouth,nan,nan,nan,nan,nan,nan,nan,nan,cherry,stir with ice and strain into cocktail glass. garnish with a cherry.,cocktail glass,6
button hook cocktail,6,cocktail classics,1/2 oz,creme de menthe (white),1/2 oz,apricot flavored brandy,1/2 oz,anisette,1/2 oz,brandy,nan,nan,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
bull's eye,7,cocktail classics,1 oz,brandy,2 oz,hard cider,ginger ale,nan,nan,nan,nan,nan,nan,nan,nan,pour into highball glass over ice cubes and fill with ginger ale. stir.,highball glass,7
brantini,6,cocktail classics,1 1/2 oz,brandy,1 oz,gin,1 oz,dry vermouth,nan,nan,nan,nan,nan,nan,lemon twist,stir with cracked ice and strain into old-fashioned glass with cubed ice. garnish with a lemon twist,old-fashioned glass,6
heather's kiss,6,whiskies,2 1/4 oz,blended scotch whiskey,1/2 oz,fresh lemon juice,1/4 oz,agave nectar,1 oz,absinthe,nan,nan,nan,nan,applie slice,shake with ice strain into chilled cocktail glass. garnish with an apple slice.,cocktail glass,6
brandy squirt,7,cocktail classics,1 1/2 oz,brandy,1 oz,powdered sugar,1 oz,grenadine,nan,club soda,nan,nan,nan,nan,"pineapple slice, strawberry",shake with ice and strain into highball glass and fill with club soda. garnish with a pineapple slice and a strawberry.,highball glass,7
brandy and soda,14,cocktail classics,2 oz,brandy,nan,club soda,nan,nan,nan,nan,nan,nan,nan,nan,nan,pour brandy into collins glass with ice cubes. fill with club soda.,collins glass,14
brandy milk punch,14,cocktail classics,1 oz,powdered sugar,2 oz,brandy,1 oz,milk,nan,nan,nan,nan,nan,nan,nutmeg,"shake with ice, strain into collins glass, and top with nutmeg.",collins glass,14
vodka collins,14,vodka,2 oz,vodka,3/4 oz,fresh lemon juice,3/4 oz,simple syrup,nan,soda water,nan,nan,nan,nan,"lemon slice, orange slice, cherry","shake vodka, lemon juice, and syrup and strain into ice-filled collins glass. fill with soda water and stir. garnish with a lemon slice, an orange slice, and a cherry. serve with a straw.",collins glass,14
brandy crusta cocktail,6,cocktail classics,1 oz,maraschino,1 oz,bitters,1 oz,lemon juice,1/2 oz,triple sec,2 oz,brandy,nan,nan,"orange slice, lemon twist, sugar",moisten the edge of a cocktail glass with lemon and dip into sugar. place lemon twist in glass. stir above ingredients with ice and strain into sugar-rimmed glass. garnish with an orange slice.,cocktail glass,6
heather blush,6,whiskies,1 oz,blended scotch whiskey,1 oz,strawberry liqueur,3 oz,chilled sparkling wine,nan,nan,nan,nan,nan,nan,strawberry,pour scotch and liqueur into chilled champagne flute. top with sparkling wine. garnish with a strawberry.,champagne flute,6
jack maples,6,brandy,2 oz,applejack,1 oz,maple syrup (grade b or medium-amber),1 oz,aromatic bitters,nan,nan,nan,nan,nan,nan,cinnamon stick,stir with ice and strain into cocktail glass. garnish with a cinnamon stick.,cocktail glass,6
brandy alexander,6,cocktail classics,1/2 oz,creme de cacao (brown),1/2 oz,brandy,1/2 oz,heavy cream,nan,nan,nan,nan,nan,nan,nan,shake well with cracked ice and strain into cocktail glass.,cocktail glass,6
vodka and tonic,7,vodka,2 oz,vodka,nan,tonic water,nan,lemon or lime wedge,nan,nan,nan,nan,nan,nan,"lemon slice, lime slice",pour vodka into highball glass over ice. add tonic and stir. garnish with a lemon slice or a lime slice.,highball glass,7
apricot cocktail,6,cocktail classics,1/4 oz,juice of a lemon,1/4 oz,juice of orange,1 1/2 oz,apricot flavored brandy,1 oz,gin,nan,nan,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
alexander cocktail no. 2,6,cocktail classics,1 oz,creme de cacao (white),1 oz,brandy,1 oz,light cream,nan,nan,nan,nan,nan,nan,nutmeg,shake with ice and strain into cocktail glass. top with nutmeg.,cocktail glass,6
after dinner cocktail,6,cocktail classics,1 oz,apricot flavored brandy,1 oz,triple sec,1 oz,juice of a lime,nan,nan,nan,nan,nan,nan,lime slice,shake with ice and strain into cocktail glass. garnish with a lime slice.,cocktail glass,6
harvest moon,6,whiskies,1 1/2 oz,straight rye whiskey,1 oz,lillet blanc,1/2 oz,apple brandy,1/4 oz,green chartreuse,2 oz,angostura bitters,nan,nan,orange twist,stir with ice and strain into chilled cocktail glass. garnish with an orange twist.,cocktail glass,6
red raider,6,cocktail classics,1 oz,bourbon,1/2 oz,triple sec,1 oz,lemon juice,1 oz,grenadine,nan,nan,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
vodka and apple juice,7,vodka,2 oz,vodka,nan,apple juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,pour vodka into ice-filled highball glass. fill with apple juice and stir.,highball glass,7
mint julep (southern style),14,cocktail classics,5 or 6,springs mint,1 oz,powdered sugar,2 oz,water,2 1/2 oz,bourbon,nan,nan,nan,nan,mint,"in silver mug or collins glass, dissolve powdered sugar with water. fill with finely shaved ice and add bourbon. stir until glass is heavily frosted, adding more ice if necessary. (do not hold glass with hand while stirring.) garnish with mint so that the tops are about two inches above the rim of glass. use short straws so that it will be necessary to bury nose in mint, which is intended for scent rather than taste.",collins glass,14
limestone,7,cocktail classics,1 1/2 oz,bourbon,nan,collins mix,nan,lime juice,nan,nan,nan,nan,nan,nan,nan,"into ice-filled highball glass, pour bourbon, fill glass with collins mix, and add lime juice to taste.",highball glass,7
grounds for divorce,6,whiskies,1 1/2 oz,straight rye whiskey,3/4 oz,kirschwasser,1/4 oz,cynar,1/2 oz,amaro,nan,nan,nan,nan,orange twist,stir and strain into chilled cocktail glass. garnish with an orange twist.,cocktail glass,6
gentleman's cocktail,7,cocktail classics,1 1/2 oz,bourbon,1/2 oz,brandy,1/2 oz,creme de menthe,nan,club soda,nan,nan,nan,nan,lemon twist,"pour bourbon, brandy, and creme de menthe over ice into highball glass. add club soda and garnish with a lemon twist.",highball glass,7
dixie julep,14,cocktail classics,1 oz,powdered sugar,2 1/2 oz,bourbon,nan,nan,nan,nan,nan,nan,nan,nan,mint,put sugar and bourbon into collins glass. fill with crushed ice and stir gently until glass is frosted. garnish with mint. serve with straws.,collins glass,14
victory collins,14,vodka,1 1/2 oz,vodka,2 oz,unsweetened grape juice,1 oz,fresh lemon juice,1/2 oz,simple syrup,nan,nan,nan,nan,orange slice,shake with ice and strain into ice-filled collins glass. garnish with an orange slice.,collins glass,14
buddy's favorite,7,cocktail classics,1 1/2 oz,bourbon,6 oz,cold water,nan,nan,nan,nan,nan,nan,nan,nan,nan,pour ingredients into highball glass. stir and serve without ice.,highball glass,7
bourbon on the rocks,6,cocktail classics,2 oz,bourbon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pour bourbon into old-fashioned glass half-filled with ice.,old-fashioned glass,6
bourbon cobbler,6,cocktail classics,2 1/2 oz,bourbon,1 oz,lemon juice,2 oz,grapefruit juice,1 1/2 oz,almond extract,nan,nan,nan,nan,peach slice,"combine all ingredients in mixing glass, pour over ice into old-fashioned glass. garnish with a peach slice.",old-fashioned glass,6
bourbon and water,6,cocktail classics,2 oz,bourbon,4 oz,water,nan,nan,nan,nan,nan,nan,nan,nan,lemon twist,"pour bourbon and water into old-fashioned glass. add ice and garnish with a lemon twist, if desired, and stir.",old-fashioned glass,6
greenpoint,6,whiskies,2 oz,straight rye whiskey,1/2 oz,yellow chartreuse,1/2 oz,sweet vermouth,1 oz,angostura bitters,1 oz,orange bitters,nan,nan,lemon twist,stir with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
yellowjacket,6,non-alcoholic drinks,2 oz,pineapple juice,2 oz,orange juice,1/2 oz,lemon juice,nan,nan,nan,nan,nan,nan,lemon slice,shake with old-fashioned glass filled with ice cubes. garnish with a lemon slice.,old-fashioned glass,6
velvet peach hammer,6,vodka,1 3/4 oz,vodka,3/4 oz,peach schnapps,1/4 oz,simple syrup,1/2 oz,fresh lemon juice,peach slice,nan,nan,nan,peach slice,pour vodka and schnapps into ice-filled old-fashioned glass. stir and top with syrup and lemon juice. garnish with a peach slice.,old-fashioned glass,6
grandfather,6,whiskies,1 oz,bourbon whiskey,1 oz,applejack,1 oz,sweet vermouth,1 oz,angostura bitters,1 oz,peychaud's bitters,nan,nan,cherry,stir with ice and strain into chilled cocktail glass. garnish with a cherry.,cocktail glass,6
goldrush,6,whiskies,2 oz,bourbon whiskey,3/4 oz,fresh lemon juice,1 oz,honey syrup,nan,nan,nan,nan,nan,nan,nan,shake and strain into ice-filled old-fashioned glass.,old-fashioned glass,6
sake martini,6,cocktail classics,1 oz,sake,3 oz,mr. boston gin,nan,nan,nan,nan,nan,nan,nan,nan,olive,"stir with ice, strain into 3-or 4-oz. cocktail glass and garnish with an olive.",cocktail glass,6
godfather,6,whiskies,1 1/2 oz,blended scotch whiskey,3/4 oz,amaretto,nan,nan,nan,nan,nan,nan,nan,nan,nan,pour into ice-filled old-fashioned glass and stir.,old-fashioned glass,6
jack-in-the-box,6,brandy,1 oz,applejack,1 oz,pineapple juice,1 oz,angostura bitters,nan,nan,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
saronno,6,cocktail classics,1 oz,amaretto di saronno,1 oz,mr. boston five star brandy,1 oz,light cream,nan,nan,nan,nan,nan,nan,nan,shake well with cracked ice. strain and serve in cocktail glass.,cocktail glass,6
saronno colada (nutty colada),14,cocktail classics,3 oz,amaretto di saronno,3 oz,coconut milk,3 oz,crushed pineapple,nan,nan,nan,nan,nan,nan,nan,put in an electric blender with 2 cups of crushed ice and blend at high speed for a short time. pour into a collins glass and serve with a straw.,collins glass,14
saronno mist,6,cocktail classics,1 1/2 oz,amaretto di saronno,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"lemon twist, lime slice","serve in an old-fashioned glass over crushed ice. garnish with a lemon twist or a lime slice, if desired.",old-fashioned glass,6
saronno rose,14,cocktail classics,1 1/2 oz,amaretto di saronno,1/2 oz,roses lime juice,1 oz,club soda,nan,nan,nan,nan,nan,nan,nan,pour amaretto di saronno and lime juice over ice in a collins glass and fill with club soda.,collins glass,14
gilchrist,6,whiskies,1 1/2 oz,blended scotch whiskey,3/4 oz,pear brandy,3/4 oz,grapefruit juice,1/2 oz,amaro,2 oz,grapefruit bitters,nan,nan,lemon twist,shake with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
frisco sour,2,whiskies,2 oz,bourbon or rye whiskey,3/4 oz,fresh lemon juice,1/2 oz,fresh lime juice,1/2 oz,benedictine,nan,nan,nan,nan,"lemon slice, lime slice",shake with ice and strain into chilled sour glass. garnish with a lemon slice and a lime slice.,cordial or pony glass,2
fratelli cocktail,6,whiskies,2 oz,straight rye whiskey,1/2 oz,sweet vermouth,1/2 oz,yellow chartreuse,1/4 oz,fernet-branca,nan,nan,nan,nan,nan,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
francis the mule,6,whiskies,2 oz,bourbon whiskey,1/2 oz,coffee liqueur,1/2 oz,fresh lemon juice,1/4 oz,orgeat or almond syrup,2 oz,orange bitters,nan,nan,lemon twist,shake with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
fox river cocktail,6,whiskies,2 oz,bourbon or rye whiskey,1/2 oz,dark creme de cacao,4 oz,angostura bitters,nan,nan,nan,nan,nan,nan,nan,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
flying scotchman,6,whiskies,1 oz,blended scotch whiskey,1 oz,sweet vermouth,1 oz,angostura bitters,1/4 oz,simple syrup,nan,nan,nan,nan,nan,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
the final ward,6,whiskies,3/4 oz,straight rye whiskey,3/4 oz,maraschino liqueur,3/4 oz,green chartreuse,3/4 oz,fresh lemon juice,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
martini,6,cocktail classics,1 1/2 oz,mr. boston gin,3/4 oz,dry vermouth,nan,nan,nan,nan,nan,nan,nan,nan,olive,stir or shake over ice and strain into cocktail glass. garnish with an olive.,cocktail glass,6
fancy whiskey,6,whiskies,2 oz,bourbon or rye whiskey,1 oz,angostura bitters,1/4 oz,triple sec,1/4 oz,simple syrup,nan,nan,nan,nan,lemon twist,shake with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
mandarine sour,5,cocktail classics,2 oz,mandarine napoleon liqueur,1 oz,lemon juice,nan,nan,nan,nan,nan,nan,nan,nan,"cherry, orange slice",shake with ice and strain into a sour glass. garnish with a cherry and an orange slice.,sour glass,5
mandarine mist,6,cocktail classics,1 1/2 oz,mandarine napoleon liqueur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,orange twist,pack an old-fashioned glass with finely crushed ice. add mandarine napoleon liqueur and garnish with an orange twist. serve with short straws.,old-fashioned glass,6
underneath the mango tree,14,vodka,nan,nan,1 oz,mango-flavored vodka,1/2 oz,peach liqueur,3/4 oz,fresh lime juice,1/2 oz,simple syrup,2 oz,ginger ale,sweet chili powder,rim collins glass with lime and sweet chili powder. fill glass with ice. shake next four ingredients with ice. strain into glass. top with ginger ale.,collins glass,14
